hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,mean_padj,cilow_padj,ciupp_padj,mean_pval,cilow_pval,ciupp_pval,mean_sim,sem_sim
AARD,33842,,,,nan,nan,,,,,,,,
ABHD5,21396,phosphatidic acid biosynthetic process,GO:0006654,biological process,15.0,4.0,5.451e-02,2.146e-02,1.385e-01,3.551e-02,1.208e-02,1.044e-01,8.102e-01,2.685e-02
ABHD5,21396,lipid homeostasis,GO:0055088,biological process,15.0,12.0,5.820e-02,1.898e-02,1.785e-01,4.110e-02,1.118e-02,1.511e-01,7.930e-01,3.428e-02
ABHD5,21396,positive regulation of triglyceride catabolic process,GO:0010898,biological process,15.0,5.0,7.914e-02,8.427e-03,7.431e-01,5.137e-02,2.669e-03,9.886e-01,7.430e-01,9.722e-02
ABHD5,21396,negative regulation of sequestering of triglyceride,GO:0010891,biological process,15.0,3.0,1.108e-01,2.080e-02,5.898e-01,9.804e-02,1.737e-02,5.534e-01,6.777e-01,6.170e-02
ABHD5,21396,lipid droplet,GO:0005811,cellular component,15.0,10.0,6.169e-02,3.505e-02,1.086e-01,3.638e-02,1.140e-02,1.161e-01,8.072e-01,2.902e-02
ABHD5,21396,1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,molecular function,15.0,4.0,4.820e-02,1.547e-02,1.502e-01,1.210e-02,4.180e-03,3.502e-02,9.061e-01,1.642e-02
ABHD5,21396,lysophosphatidic acid acyltransferase activity,GO:0042171,molecular function,15.0,5.0,4.820e-02,1.547e-02,1.502e-01,1.337e-02,2.675e-03,6.680e-02,8.926e-01,2.508e-02
ABHD5,21396,carboxylic ester hydrolase activity,GO:0052689,molecular function,15.0,116.0,9.333e-02,2.682e-02,3.248e-01,5.957e-02,8.800e-03,4.033e-01,7.419e-01,6.056e-02
ACACA,84,cytosol,GO:0005829,cellular component,18.0,76.0,5.413e-02,4.496e-02,6.518e-02,3.157e-02,2.063e-02,4.832e-02,8.234e-01,1.052e-02
ACACA,84,actin cytoskeleton,GO:0015629,cellular component,18.0,9.0,5.413e-02,4.496e-02,6.518e-02,4.171e-02,2.372e-02,7.335e-02,7.937e-01,1.471e-02
ACACA,84,fibrillar center,GO:0001650,cellular component,18.0,6.0,6.061e-02,4.511e-02,8.145e-02,5.349e-02,2.917e-02,9.808e-02,7.659e-01,1.668e-02
ACACA,84,acetyl-CoA carboxylase activity,GO:0003989,molecular function,18.0,2.0,5.413e-02,4.496e-02,6.518e-02,2.031e-02,3.419e-03,1.206e-01,8.601e-01,4.116e-02
ACACA,84,identical protein binding,GO:0042802,molecular function,18.0,35.0,5.413e-02,4.496e-02,6.518e-02,2.336e-02,1.709e-02,3.195e-02,8.540e-01,7.658e-03
ACACA,84,protein binding,GO:0005515,molecular function,18.0,347.0,5.413e-02,4.496e-02,6.518e-02,3.739e-02,2.269e-02,6.163e-02,8.056e-01,1.272e-02
ACADM,89,medium-chain fatty acid catabolic process,GO:0051793,biological process,32.0,3.0,2.070e-02,1.174e-02,3.651e-02,5.409e-03,1.659e-03,1.763e-02,9.473e-01,1.183e-02
ACADM,89,fatty acid beta-oxidation using acyl-CoA dehydrogenase,GO:0033539,biological process,32.0,2.0,2.070e-02,1.174e-02,3.651e-02,6.119e-03,1.879e-03,1.992e-02,9.425e-01,1.129e-02
ACADM,89,fatty acid beta-oxidation,GO:0006635,biological process,32.0,9.0,2.130e-02,1.144e-02,3.965e-02,7.212e-03,2.109e-03,2.467e-02,9.345e-01,1.442e-02
ACADM,89,"carnitine metabolic process, CoA-linked",GO:0019254,biological process,32.0,2.0,2.416e-02,1.803e-02,3.239e-02,1.132e-02,5.349e-03,2.396e-02,9.134e-01,1.040e-02
ACADM,89,medium-chain fatty acid metabolic process,GO:0051791,biological process,32.0,5.0,2.576e-02,1.541e-02,4.305e-02,1.456e-02,6.324e-03,3.354e-02,8.943e-01,1.556e-02
ACADM,89,oxidation-reduction process,GO:0055114,biological process,32.0,42.0,2.619e-02,9.898e-03,6.929e-02,1.616e-02,2.055e-03,1.271e-01,8.721e-01,3.505e-02
ACADM,89,carnitine biosynthetic process,GO:0045329,biological process,32.0,3.0,2.689e-02,2.279e-02,3.171e-02,1.691e-02,6.295e-03,4.543e-02,8.811e-01,2.027e-02
ACADM,89,mitochondrion,GO:0005739,cellular component,32.0,35.0,2.357e-02,1.628e-02,3.413e-02,8.698e-03,7.018e-03,1.078e-02,9.302e-01,2.659e-03
ACADM,89,mitochondrial matrix,GO:0005759,cellular component,32.0,6.0,2.357e-02,1.628e-02,3.413e-02,1.102e-02,9.746e-03,1.246e-02,9.173e-01,1.737e-03
ACADM,89,nucleus,GO:0005634,cellular component,32.0,81.0,2.962e-02,2.186e-02,4.015e-02,2.249e-02,1.709e-02,2.960e-02,8.579e-01,6.729e-03
