hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,mean_padj,cilow_padj,ciupp_padj,mean_pval,cilow_pval,ciupp_pval,mean_sim,sem_sim
ABCB4,45,lipid homeostasis,GO:0055088,biological process,19.0,10.0,2.819e-01,1.452e-01,5.474e-01,1.140e-01,5.667e-02,2.294e-01,6.500e-01,2.530e-02
ABCB4,45,positive regulation of phospholipid transport,GO:2001140,biological process,19.0,6.0,2.819e-01,1.452e-01,5.474e-01,1.338e-01,5.032e-02,3.557e-01,6.226e-01,3.869e-02
ABCB4,45,positive regulation of phospholipid translocation,GO:0061092,biological process,19.0,6.0,2.819e-01,1.452e-01,5.474e-01,1.501e-01,5.384e-02,4.185e-01,6.031e-01,3.918e-02
ABCB4,45,positive regulation of cholesterol transport,GO:0032376,biological process,19.0,8.0,2.819e-01,1.452e-01,5.474e-01,1.756e-01,6.204e-02,4.972e-01,5.757e-01,4.237e-02
ABCB4,45,phospholipid translocation,GO:0045332,biological process,19.0,6.0,4.190e-01,1.662e-01,1.056e+00,4.063e-01,1.453e-01,1.137e+00,3.869e-01,6.193e-02
ABCB4,45,cellular response to bile acid,GO:1903413,biological process,19.0,6.0,4.293e-01,2.094e-01,8.799e-01,4.184e-01,2.128e-01,8.226e-01,3.875e-01,4.220e-02
ABCB4,45,extracellular exosome,GO:0070062,cellular component,19.0,39.0,2.819e-01,1.452e-01,5.474e-01,1.279e-01,7.127e-02,2.294e-01,6.333e-01,2.266e-02
ABCB4,45,apical plasma membrane,GO:0016324,cellular component,19.0,4.0,2.819e-01,1.452e-01,5.474e-01,1.315e-01,3.105e-02,5.567e-01,6.201e-01,5.171e-02
ABCB4,45,plasma membrane,GO:0005886,cellular component,19.0,67.0,2.819e-01,1.452e-01,5.474e-01,1.356e-01,4.946e-02,3.717e-01,6.201e-01,4.051e-02
ABCB4,45,integral component of membrane,GO:0016021,cellular component,19.0,19.0,2.819e-01,1.452e-01,5.474e-01,1.452e-01,5.095e-02,4.137e-01,6.084e-01,4.359e-02
ABCB4,45,actin cytoskeleton,GO:0015629,cellular component,19.0,6.0,2.819e-01,1.452e-01,5.474e-01,1.534e-01,9.925e-02,2.371e-01,6.042e-01,1.803e-02
ABCB4,45,focal adhesion,GO:0005925,cellular component,19.0,7.0,2.819e-01,1.452e-01,5.474e-01,1.575e-01,7.003e-02,3.541e-01,5.971e-01,3.342e-02
ABCB4,45,cytoplasm,GO:0005737,cellular component,19.0,72.0,2.942e-01,1.325e-01,6.531e-01,2.126e-01,9.959e-02,4.539e-01,5.426e-01,3.639e-02
ABCB4,45,cytosol,GO:0005829,cellular component,19.0,50.0,2.952e-01,1.316e-01,6.623e-01,2.207e-01,9.355e-02,5.209e-01,5.340e-01,4.190e-02
ABCB4,45,nucleoplasm,GO:0005654,cellular component,19.0,47.0,3.164e-01,1.632e-01,6.135e-01,2.809e-01,1.627e-01,4.847e-01,4.876e-01,2.948e-02
ABCB4,45,ATPase-coupled transmembrane transporter activity,GO:0042626,molecular function,19.0,29.0,2.819e-01,1.452e-01,5.474e-01,1.139e-01,4.075e-02,3.183e-01,6.472e-01,3.860e-02
ABCB4,45,phosphatidylcholine floppase activity,GO:0090554,molecular function,19.0,3.0,2.819e-01,1.452e-01,5.474e-01,2.028e-01,1.025e-01,4.013e-01,5.526e-01,2.991e-02
ABCB4,45,protein binding,GO:0005515,molecular function,19.0,318.0,3.044e-01,1.342e-01,6.905e-01,2.507e-01,9.948e-02,6.320e-01,5.065e-01,4.899e-02
ABLIM3,29132,,,,nan,nan,,,,,,,,
ACHE,108,cell adhesion,GO:0007155,biological process,24.0,14.0,1.036e-01,4.508e-02,2.379e-01,3.290e-02,9.963e-03,1.086e-01,8.044e-01,3.050e-02
ACHE,108,osteoblast development,GO:0002076,biological process,24.0,2.0,1.310e-01,4.475e-02,3.837e-01,6.155e-02,1.624e-02,2.332e-01,7.311e-01,3.837e-02
ACHE,108,acetylcholine catabolic process,GO:0006581,biological process,24.0,7.0,1.634e-01,1.247e-01,2.142e-01,1.059e-01,3.866e-02,2.903e-01,6.587e-01,3.493e-02
ACHE,108,extracellular region,GO:0005576,cellular component,24.0,16.0,1.531e-01,8.652e-02,2.711e-01,9.758e-02,4.144e-02,2.298e-01,6.718e-01,2.813e-02
ACHE,108,synapse,GO:0045202,cellular component,24.0,20.0,1.531e-01,8.652e-02,2.711e-01,9.791e-02,3.520e-02,2.724e-01,6.702e-01,3.327e-02
ACHE,108,extracellular space,GO:0005615,cellular component,24.0,24.0,1.576e-01,9.699e-02,2.559e-01,1.222e-01,6.223e-02,2.401e-01,6.397e-01,2.568e-02
ACHE,108,Golgi apparatus,GO:0005794,cellular component,24.0,16.0,1.576e-01,9.699e-02,2.559e-01,1.249e-01,5.932e-02,2.631e-01,6.356e-01,2.832e-02
ACHE,108,membrane,GO:0016020,cellular component,24.0,41.0,1.576e-01,9.699e-02,2.559e-01,1.250e-01,5.202e-02,3.003e-01,6.344e-01,3.262e-02
ACHE,108,perinuclear region of cytoplasm,GO:0048471,cellular component,24.0,8.0,1.657e-01,9.898e-02,2.775e-01,1.337e-01,6.453e-02,2.769e-01,6.250e-01,2.704e-02
